id,tur,metin,anlam_ekseni,iskelet,mekanizma,kutup,yon,yasanmislik,celisen,ayirt_edici_soru,modern_deyim
M009,yunan mitosu,Akhilleus topuğu,"Görülmeyen açık, tek kırılma noktası",tek zayıf noktadan düşen,kor-nokta,,,,,,
M010,yunan mitosu,Ariadne'nin ipi,"Geri dönüş yolunu bırakma, çıkışı önceden kurma",labirentten çıkış ipi,bagimlilik,,,,,,
M011,yunan mitosu,Damokles'in kılıcı,"Sürekli tehdit altında konum, konforun bedeli",başının üstünde asılı tehdit,zamanlama,,,,,,
M012,yunan mitosu,Sirenler,"Cazibeye kapılma, önceden bağlanma ihtiyacı",çağrıya kapılıp kayalara çarpma,asiri-tepki,,,,,,
M013,yunan mitosu,Odysseus'un yayı,Yalnızca yaşayanın yapabilmesi,yalnızca sahibinin gerebildiği,deneyim-kapisi,,,,,,
M014,yunan mitosu,Antigone,"İki meşru yükümlülük, seçilemez ikilem",yasayla vicdan arasında kalan,karar-tikanmasi,,,,,,
C001,çıkmaz,Karar edememe,"FOBO, seçenekleri açık tutma, karar felci",Seçmemenin kendisi bir seçimdir; korunma tam olduğunda kazanç da sıfırlanır.,,,,,seç / seçme,Bu seçeneklerden biri zamanla kapanıyor mu?,"Sepette on ürün, hiçbiri satın alınmamış."
C002,çıkmaz,Kaçırma korkusu,FOMO,"Kaçırılanın değeri ölçülemez olduğu için, kaçırma korkusu hiçbir veriyle yatışmaz.",,,,,her şeye gir / seçici ol,"Kaçırdığını sonradan öğrenebilecek misin, yoksa hiç bilemeyecek misin?","Herkesin hikâyesini izledin, kendi gününü yaşamadın."
C003,çıkmaz,Söylemek ya da susmak,"ya konuşsam olmuyor, sussam gönlüm razı değil",Bir bilginin taşınması da taşınmaması da taşıyanı değiştirir; nötr seçenek yoktur.,,,,,söyle / sus,"Söylemezsen bu, bir ay sonra hâlâ aynı yerde mi duruyor olacak?","Yazdın, sildin, yazdın, sildin. Mesaj hâlâ taslakta."
C004,çıkmaz,Gitmek ya da kalmak,"işten ayrılmak, şehir değiştirmek, ilişkiyi bitirmek","Ayrılmanın maliyeti tek seferde, kalmanın maliyeti taksitle ödenir; bu yüzden kalmak hep ucuz görünür.",,,,,git / kal,Buradaki sorun senin gelişinden önce de var mıydı?,Valiz dolapta duruyor ama açılmamış.
C005,çıkmaz,Her ihtimalde kaybetme,ne yapsam olmuyor,"Sonuç eylemden bağımsız hale geldiğinde, kişi eylemle sonuç arasındaki bağı kurmayı bırakır.",,,,,dene / deneme,Son üç denemede aynı şeyi mi yaptın?,"Aynı şifreyi üçüncü kez yanlış girdin, sorun şifrede değil."
C006,çıkmaz,Ölçüsüzlüğün iki ucu,"az uyku çok uyku, az iş çok iş",Bazı büyüklüklerin hem alt hem üst eşiği vardır; iyi olan yön değil aralıktır.,,,,,artır / azalt,"Bunun bir 'doğru miktarı' var mı, yoksa hep daha azı mı iyi?","Az uyudun diye yorgunsun, çok uyudun diye de."
C007,çıkmaz,Sonucu belli olmayan risk,bilinmeyene girmek,"Bilgi ancak riske girilerek elde edilebiliyorsa, bilmemek de bir maliyettir.",,,,,gir / girme,Yanılırsan geri dönebilir misin?,Kapağı açmadan içinde ne olduğunu tartışıyorsun.
C008,çıkmaz,Yakınlık kıskançlığı,arkadaşımın başarısına sevinemiyorum,"Aynı ölçekte kıyaslanan iki kişide, ötekinin yükselmesi kendi konumunun düşmesi olarak okunur.",,,,,sevin / sevinme,"Onun kazandığı şey, senin kaybettiğin bir şey mi?","Onun paylaşımına beğeni attın, sonra telefonu ters çevirdin."
C009,çıkmaz,Aceleyle bekleme arasında,şimdi mi sonra mı,Hız ile nitelik aynı kaynaktan beslendiği için biri artarken diğeri azalır.,,,,,hızlan / bekle,"Beklersen iş bozulur mu, yoksa iş elinden mi gider?",Sayfayı yenilemekle iş bitmiyor.
C010,çıkmaz,Görünmez emeğin bedeli,herkese yetişiyorum kendime yetişemiyorum,Aynı kapasite hem dışarıya hem içeriye harcanamaz; bölüşüm kaçınılmazdır.,,,,,başkalarına ver / kendine ayır,Bu işi senden başka yapabilecek biri var mı?,"Herkesin bildirimine yetiştin, kendi bildirimlerin okunmadı."
C011,çıkmaz,Ortak olduğun gücün payı,büyük oyuncuyla çalışmak,Güç dengesizse paylaşımın kuralını güçlü olan yazar; ortaklık eşitlik anlamına gelmez.,,,,,ortak ol / olma,Bu ortaklıktan çıkarsan elinde ne kalır?,Büyük masaya oturdun ama menüyü sen seçmiyorsun.
C012,çıkmaz,Zamanlaması olmayan borç,yanlış kişiye bağımlı olmak,"Bir yükümlülüğün maliyeti miktarında değil, ne zaman tahsil edileceğini kimin belirlediğindedir.",,,,,al / alma,Bunu geri isteme anını kim seçiyor?,"Borç aldın, faizi sabah kaçta arayacağıyla ödeniyor."
C013,çıkmaz,Yükselmek ya da korumak,"sessiz istifa ile terfi arasında, büyümek mi dinlenmek mi",Kapasiteyi korumak ile büyütmek aynı anda yapılamaz; biri diğerinin payından yer.,,,,,al / alma,"Bu sınırı sen mi koydun, yoksa yorgunluk mu koydu?","Zam geldi, takvim de doldu."
C014,çıkmaz,Yakınlık ya da sınır,"aileye sınır koymak, hayırlı evlat olmak","Sınırsız yakınlık, yükü taşıyan ile yükü doğuran arasındaki bağı koparır.",,,,,sınır koy / koyma,Bu yükü şu an kim taşıyor?,Kendi evinde misafir gibi karar veriyorsun.
C015,çıkmaz,İki sorumluluk arasında,ebeveyn bakımı ile kendi hayatı arasında,"İki meşru sorumluluk çakıştığında, seçmemek de bir seçimdir ve kararı gecikme verir.",,,,,birine öncelik ver / ötekine öncelik ver,Bu kararı verirken kimin sözü senin sözünden ağır?,"İki takvim çakışıyor, ikisi de iptal edilemiyor."
C016,çıkmaz,Kazanç ya da ilke,"etik gri alanda fırsat, gri tüyo","Bir sınır bir kez esnetildiğinde, ikinci esnetmenin gerekçesi ilkinden hazır gelir.",,,,,değerlendir / değerlendirme,Bu kararı güvendiğin birine anlatır mıydın?,"Kazancı anlatırken sesini alçaltıyorsan, mesele kazanç değil."
C017,çıkmaz,Bitirmek ya da korumak,ilkelerine ters yatırımı kabul etmek,"Bir şeyi var etmek için gereken kaynak, onun ne olacağını da belirleme hakkını taşır.",,,,,kabul et / etme,"Bu iş senin imzanla mı değerli, yoksa var olmasıyla mı?","Fikir senin, kalem onda."
C018,çıkmaz,Dinlenmek ya da sürdürmek,"tükenmişlik, mola vermek",Kapasite tükendiğinde durma kararı kişiden alınır; erken durmak onu geri almaktır.,,,,,dur / devam et,Şu an durursan geri dönebileceğin bir yer kalıyor mu?,"Şarj yüzde üç, hâlâ video izliyorsun."
C019,çıkmaz,Üstlenmek ya da susmak,görülmeyen hata,"Görülmemiş bir hata, görülene kadar hatadır; görüldüğünde saklamak hataya eklenir.",,,,,üstlen / susma,"Bu hata büyüyerek mi ortaya çıkar, yoksa unutularak mı kaybolur?",Hata kimsenin görmediği bir sekmede açık duruyor.
C020,çıkmaz,Unvan ya da uyum,yetenek dışı ama prestijli teklif,"Görünürlük ile yeterlilik ayrıldığında, aradaki fark er geç kamuya açılır.",,,,,al / alma,"Bu işi altı ay sonra öğrenmiş olur musun, yoksa altı ay sonra da açık mı kalır?","Unvanı aldın, sekmeleri hâlâ gizlice arıyorsun."
C021,çıkmaz,Korumak ya da sorumluluk,"arkadaşını korumak, ihbar","Bir başkasının sonucunu üstlenmek, seçimi de üstlenmek anlamına gelmez.",,,,,koru / koruma,"Bu, onun ilk seferi mi?","Grupta sustun, özelden yazdın."
C022,çıkmaz,Senin yerin ya da onun yeri,"ortak gelecek planı, nerede yaşanacak","İki kişinin var olma alanı çakışmıyorsa, birlikte olmak birinin küçülmesiyle mümkündür.",,,,,onun yeri / senin yerin,Küçülen taraf bunu bir daha geri isteyebilecek mi?,"İki şehir arasında yaşıyorsun, ikisinde de misafirsin."
C023,çıkmaz,İtiraz ya da uyum,emeğin görünmemesi,"Görünmeyen emek bir kez ortak sayıldığında, ikinci kez sayılması için gerekçe azalır.",,,,,itiraz et / etme,Bu ilk kez mi oluyor?,"Sunumu sen hazırladın, alkışta ayağa kalkmadın."
C024,çıkmaz,Büyümek ya da bağı korumak,gelişirken uzaklaşmak,"İki kişi farklı hızlarda değiştiğinde, ortak zemin küçülür; kimse hata yapmamıştır.",,,,,devam et / yavaşla,"Aranızdaki mesafe senin gitmenden mi, onun durmasından mı doğuyor?","Aynı sohbet, artık sadece doğum günlerinde."
C025,çıkmaz,Dedikoduya ortak olmak ya da bozmak,asılsız bilgiyle yüzleşmek,"Yanlış bilgiyi durdurmayan, onu taşıyan halkalardan biri haline gelir.",,,,,düzelt / düzeltme,Bunu söyleyen kişi düzeltilmeye açık mı?,"Duydun, yaymadın ama sildin de sayılmaz."
C026,çıkmaz,Uyarmak ya da desteklemek,arkadaşının başarısız olacağını görmek,"Bir uyarı, uyarılanın onu kullanabileceği zaman diliminde değerlidir; sonrası suçlamadır.",,,,,söyle / söyleme,Söylersen değiştirebileceği bir şey kalıyor mu?,"Söylesen üzülecek, söylemesen sen bileceksin."
C027,çıkmaz,Onaylamak ya da durdurmak,imza senin elinde,"Karar yetkisi verilen kişi, kararın sonucunu da devredemez.",,,,,onayla / onaylama,Bu imza için yetkili başka biri var mı?,"İmza senin, karar başkasının."
C028,çıkmaz,Büyümek ya da ortak olmamak,kültürünü onaylamadığın güçlü ortak,"Görünmeyen bir ret, düzen üzerinde ölçülebilir bir etki bırakmaz.",,,,,çalış / çalışma,Reddedersen bunu bilecek biri olacak mı?,"Büyük markayla çalışıyorsun, onların yazı tipini kullanıyorsun."
C029,çıkmaz,Katılmak ya da alan korumak,mesai dışı zorunlu sosyallik,"Yazılı olmayan kural, ihlal edildiğinde de yazılı olmadığı için tartışılamaz.",,,,,katıl / katılma,Katılmayan başka biri var mı?,Takvimde görünüyorsun ama masada yoksun.
C030,çıkmaz,Bir kişi ya da herkes,kısılan bütçeyi paylaştırmak,"Bölünemeyen bir kaybı paylaştırmak, kaybı küçültmez yalnızca dağıtır.",,,,,bir kişiyi koru / herkesi koru,"Kaybı taşıyacak kişiyi sen mi seçiyorsun, yoksa kural mı seçiyor?","Pastayı böldün, herkes küçük dilimi aldığını düşünüyor."
C031,çıkmaz,Referansı korumak ya da söylemek,güçlü bir ismin bilinmeyen yüzü,"Bir itibarın sürmesi, onu bilenlerin susmasına bağlıdır.",,,,,söyle / söyleme,Bunu senden başka bilen var mı?,Tavsiye mektubunu yazan kişi hakkında tavsiye veremiyorsun.
C032,çıkmaz,Yetkiyi atlamak ya da uymak,hiyerarşinin baypas edilmesi,"Atlanan basamak, atlayanın değil atlananın konumunu zedeler.",,,,,yap / yapma,Bu görevi yöneticine söyleyebilir misin?,"Üstün atladı, arada kalan sensin."
C033,çıkmaz,Kanıtı açmak ya da beklemek,kalabalığın yanıldığı an,"Kalabalığın yanılgısını düzeltmenin bedeli, yanılgıyı sürdürmenin bedelinden görünürdür.",,,,,paylaş / bekle,Bunu senden başka gösterebilecek biri var mı?,Ekran görüntüsü var ama göndermedin.
C034,çıkmaz,Kalmak ya da çıkmak,krizde iş değiştirmek,Belirsizlik yüksekken kalmak da çıkmak da bilinmeyene doğrudur; fark yalnızca bilinenin tanıdıklığıdır.,,,,,kal / çık,Buradaki mutsuzluk piyasa düzelince geçer mi?,"İlanlara bakıyorsun, başvurmuyorsun."
C035,çıkmaz,Sıfırlamak ya da sürdürmek,her şeyi bırakıp gitmek,"Başarı ölçüsü dışarıdan geliyorsa, ondan çıkmak da dışarıdan yargılanır.",,,,,git / kalma,"Bu ölçüyü sen mi seçtin, yoksa devraldın mı?","Köy evi arıyorsun, sekmeyi kapatmadan."
C036,çıkmaz,Geçmişi açmak ya da bırakmak,yıllar sonra hesap sormak,"Geciken adaletin bedelini, olayı yaşayanlar değil bugün orada olanlar öder.",,,,,aç / bırak,"Bunu açmak bugün birinin zararını durduruyor mu, yoksa yalnızca geçmişi mi adlandırıyor?",Arşivi açtın ama okumadın.
C037,çıkmaz,Vefa ya da verim,emektar çalışan ile dönüşüm,Geçmiş katkı bugünkü çıktıyı üretmez ama bugünkü kararın maliyetini belirler.,,,,,koru / çıkar,Bu kişinin öğrenebileceği bir yer var mı?,"Yeni sistem geldi, eski kahve makinesi hâlâ o kişi biliyor."
C038,çıkmaz,Uyum ya da bilgi,çoğunluğun yanıldığını görmek,"Bir bilginin kabul edilmesi doğruluğuna değil, kabul edenin ona hazır olmasına bağlıdır.",,,,,söyle / susma,Bunu duyacak durumda olan tek bir kişi var mı?,"Grupta herkes aynı fikirde, sen yazıp sildin."
D001,deyim,Ateşle oynamak,Sonucu kontrol edilemeyen riske girmek,Küçük bir hamlenin büyük ve geri alınamaz sonuç doğurması,geri-donulmezlik,,,,,,
D002,deyim,Pire için yorgan yakmak,Küçük soruna orantısız tepki,Çözümün maliyeti sorunun maliyetini aşar,asiri-tepki,,,,,,
D003,deyim,Etekleri tutuşmak,"Ani telaş, geç kalmışlık",Süre daralınca hazırlık yerini paniğe bırakır,zamanlama,,,,,,
D004,deyim,Bardağı taşıran son damla,Birikmiş şeyin küçük bir olayla patlaması,Tek olay değil birikim sonucu doğurur,birikim,,,,,,
D005,deyim,İpin ucunu kaçırmak,Kontrolün fark edilmeden elden gitmesi,Kademeli gevşeme bir eşikten sonra geri alınamaz,geri-donulmezlik,,,,,,
D006,deyim,Gözden düşmek,İtibarın sessizce kaybolması,"Konum tek olayla değil, sessiz birikimle kaybedilir",yayilma,,,,,,
D007,deyim,Altta kalmak,Hak aramaktan vazgeçmek,Karşılık vermemek zamanla konum kaybına dönüşür,oran-etkisi,,,,,,
D008,deyim,Kabuğuna çekilmek,Temastan tümüyle geri çekilme,"Zarardan korunma, bağdan da koparır",asiri-tepki,,,,,,
D009,deyim,Köprüleri atmak,Geri dönüşü bilerek kapatmak,Çıkış yolunu kapatmak kararı kesinleştirir,geri-donulmezlik,,,,,,
D010,deyim,Suyun akışına bırakmak,Yönlendirmeyi bırakmak,Müdahale edilmeyen süreç kendi yolunu seçer,bagimlilik,,,,,,
D011,deyim,İki arada bir derede kalmak,İki taraf arasında sıkışmak,İki meşru yükümlülük çakıştığında seçmemek de bir seçimdir,karar-tikanmasi,,,,,,
D012,deyim,Yükün altına girmek,Sorumluluğu üstlenmek,Üstlenilen yük paylaşılmadığında taşıyanı değiştirir,sahiplik-boslugu,,,,,,
D013,deyim,Ağzı var dili yok,Karşılık vermemek,Sessizlik zamanla kişinin tanımı olur,bilgi-asimetrisi,,,,,,
D014,deyim,Göz yummak,Bilerek görmezden gelmek,"Görüp söylememek, olayın sürmesine katkıdır",bilgi-asimetrisi,,,,,,
D015,deyim,Kulak ardı etmek,Uyarıyı dikkate almamak,Uyarı ancak kullanılabilir zamanda değerlidir,zamanlama,,,,,,
D016,deyim,Yolunu kesmek,Birinin ilerlemesini engellemek,"Engel, engelleyenin de yolunu daraltır",kaynak-siniri,,,,,,
D017,deyim,El üstünde tutmak,Aşırı değer verme,"Aşırı koruma, korunanın yetisini köreltir",asiri-tepki,,,,,,
D018,deyim,Göze girmek,Beğenilmeye çalışmak,"Onay arayışı, işin kendisinden fazla yer kaplar",gorunum-farki,,,,,,
D019,deyim,Yüzüne vurmak,Gerçeği sertçe söylemek,Doğrunun kabul edilmesi biçimine bağlıdır,bilgi-asimetrisi,,,,,,
D020,deyim,Diken üstünde olmak,Sürekli tetikte bekleme,"Belirsiz tehdit, belirli tehditten fazla yıpratır",zamanlama,,,,,,
D021,deyim,Sırtını dayamak,Birine güvenerek hareket etmek,Dayanılan şey çekilince duruş da gider,bagimlilik,,,,,,
D022,deyim,Kendi yağıyla kavrulmak,Dışarıdan destek almadan sürdürmek,Kendine yeten sistem yavaş ama bağımsızdır,bagimlilik,,,,,,
D023,deyim,Ağır top,Belirleyici güç,Tek bir unsurun bütün dengeyi belirlemesi,karar-tikanmasi,,,,,,
D024,deyim,Ateş almaya gelmek,Kısa kalıp hemen gitmek,Yüzeysel temas bağ kurmaz,oran-etkisi,,,,,,
D025,deyim,Yorgan gitti kavga bitti,Çatışmanın nesnesinin ortadan kalkması,"Sorun taraflarda değil, aradaki nesnedeydi",karar-tikanmasi,,,,,,
G001,yunan tanrısı,Zeus,Son sözü söyleyen ama her şeye karışan,"Yetkinin tek elde toplanması kararı hızlandırır, sorumluluğu da tek yere yığar",karar-tikanmasi,,,,,,
G002,yunan tanrısı,Hera,"Bağı koruyan, ihaneti unutmayan","Bağın korunması, kırılmanın kaydının tutulmasıyla sürdürülür",bilgi-asimetrisi,,,,,,
G003,yunan tanrısı,Athena,"Zekâyla çözen, güçle değil","Doğru yöntem, doğru kuvvetten önce gelir",kor-nokta,,,,,,
G004,yunan tanrısı,Ares,Çatışmayı çözüm sanan,Her sorunu aynı araçla çözmek aracı değil sorunu büyütür,asiri-tepki,,,,,,
G005,yunan tanrısı,Hermes,"Sınırları geçen, haber taşıyan","Bilgiyi taşıyan, taşıdığı bilginin bedelini de üstlenir",bilgi-asimetrisi,,,,,,
G006,yunan tanrısı,Hestia,"Ocağı koruyan, görünmeyen",Süreklilik sağlayan emek en az görünen emektir,sahiplik-boslugu,,,,,,
G007,yunan tanrısı,Demeter,Kaybettiğinde mevsimleri durduran,"Bir bağın kopması, ilgisiz görünen her şeyi durdurabilir",yayilma,,,,,,
G008,yunan tanrısı,Apollon,"Işık ve ölçü, aşırılığın karşıtı","Ölçü, iyi olan yön değil doğru aralıktır",oran-etkisi,,,,,,
G009,yunan tanrısı,Dionysos,"Sınırı kaldıran, kendinden geçiren",Sınırın kalkması hem özgürleştirir hem dağıtır,asiri-tepki,,,,,,
G010,yunan tanrısı,Artemis,Yalnız kalmayı seçen,"Bağımsızlık, yalnızlığın kabul edilmiş halidir",bagimlilik,,,,,,
G011,yunan tanrısı,Hephaistos,Dışlanmış ama üreten,"Dışlanma, üretimi durdurmaz ama görünürlüğü keser",gorunum-farki,,,,,,
G012,yunan tanrısı,Prometheus,Ateşi çalıp sonsuz bedel ödeyen,Toplumsal fayda için alınan risk bireysel olarak ödenir,geri-donulmezlik,,,,,,
B001,başka mitoloji,Ragnarök,İskandinav — sonun önceden bilinmesi,"Sonun bilinmesi onu engellemez, yalnızca taşıma biçimini değiştirir",geri-donulmezlik,,,,,,
B002,başka mitoloji,Odin'in gözü,İskandinav — bilgi için göz feda etmek,"Derin bilgi, her zaman bir görme alanının kaybıyla gelir",deneyim-kapisi,,,,,,
B003,başka mitoloji,Loki,İskandinav — düzeni bozan ama gerekli olan,Bozucu unsur çıkarıldığında sistem esnekliğini de kaybeder,yayilma,,,,,,
B004,başka mitoloji,Gılgamış,Mezopotamya — ölümsüzlük arayan ve bulamayan,"Bazı arayışlar sonuçla değil, arayanı değiştirerek biter",deneyim-kapisi,,,,,,
B005,başka mitoloji,Enkidu,Mezopotamya — vahşiyken uygarlaşan,"Uyum sağlamak, geldiğin yere dönememek demektir",geri-donulmezlik,,,,,,
B006,başka mitoloji,Nuh'un gemisi,Ortak — uyarıyı dinleyen ve hazırlanan,"Herkesin reddettiği hazırlık, olay gelince tek doğru olur",zamanlama,,,,,,
B007,başka mitoloji,Bilge Kağan yazıtı,Türk — sözün taşa yazılması,Aktarılmayan deneyim bir kuşakta kaybolur,deneyim-kapisi,,,,,,
B008,başka mitoloji,Ergenekon,Türk — sıkışıp dağı eritmek,"Çıkışsız görünen yerde çıkış açmak, bekleyerek değil işleyerek olur",birikim,,,,,,
B009,başka mitoloji,Dede Korkut'un öğüdü,Türk — yaşlının genci uyarması,"Uyarının değeri, uyarılanın onu kullanabileceği zamandadır",zamanlama,,,,,,
B010,başka mitoloji,Anka kuşu,Ortak — kendi külünden doğan,Bitişin kendisi bazı başlangıçların ön koşuludur,geri-donulmezlik,,,,,,
B011,başka mitoloji,Kaf Dağı,Türk-Fars — ulaşılamayan hedef,"Ulaşılamayan hedef, yolu anlamlı kılar ama varışı yoktur",oran-etkisi,,,,,,
B012,başka mitoloji,Simurg,Fars — otuz kuşun aradığını kendinde bulması,Aranan şey çoğu zaman arayanların toplamıdır,birlesim,,,,,,
W001,dünya atasözü,The pitcher goes to the well once too often,İngilizce — tekrarın kaçınılmaz sonucu,"Risk, en çok tekrarlanan olağan eylemin içindedir",geri-bildirim,,,,,,
W002,dünya atasözü,"Once bitten, twice shy",İngilizce — bir kez yanan temkinli olur,Bir kez zarar gören benzeyen her şeye aşırı genelleyerek korunur,asiri-tepki,,,,,,
W003,dünya atasözü,Many hands make light work,İngilizce — birleşen emek,Birleşen çabanın çıktısı parçaların toplamından fazladır,birlesim,,,,,,
W004,dünya atasözü,The cobbler's children have no shoes,İngilizce — ustanın kendi eksiği,Kapasite hep dışarı yönlendirildiğinde kendine sıra gelmez,kaynak-siniri,,,,,,
W005,dünya atasözü,羹に懲りて膾を吹く,Japonca — sıcak çorbadan yanan soğuğu üfler,Bir kez zarar gören benzeyen her şeye aşırı genelleyerek korunur,asiri-tepki,,,,,,
W006,dünya atasözü,百聞は一見に如かず,Japonca — yüz kez duymak bir kez görmeye denk değil,Yaşanmış tek olay aktarılmış çok bilgiden fazlasını öğretir,deneyim-kapisi,,,,,,
W007,dünya atasözü,医者の不養生,Japonca — hekimin kendi sağlığına bakmaması,Beceri kendine yönlendirilemez,kaynak-siniri,,,,,,
W008,dünya atasözü,急がば回れ,Japonca — acelen varsa dolaş,Hız arttıkça hata olasılığı kazanılan zamandan fazla maliyet üretir,hiz-kalite,,,,,,
W009,dünya atasözü,隣の芝生は青い,Japonca — komşunun çimi daha yeşil,Dışarıdan görülen sahip olunandan büyük görünür,gorunum-farki,,,,,,
W010,dünya atasözü,Gebranntes Kind scheut das Feuer,Almanca — yanan çocuk ateşten kaçar,Bir kez zarar gören temasın tamamından kaçınır,asiri-tepki,,,,,,
W011,dünya atasözü,Der Krug geht zum Brunnen bis er bricht,Almanca — testi kırılana dek kuyuya gider,Risk olağan tekrarın içindedir,geri-bildirim,,,,,,
W012,dünya atasözü,Festina lente,Latince — yavaşça acele et,Hız ile nitelik aynı kaynaktan beslenir,hiz-kalite,,,,,,
W013,dünya atasözü,Tant va la cruche à l'eau qu'elle se casse,Fransızca — testi suya gide gide kırılır,"Tekrar, kaçınılmazı üretir",geri-bildirim,,,,,,
W014,dünya atasözü,"En casa del herrero, cuchillo de palo",İspanyolca — demircinin evinde tahta bıçak,Beceri kendine yönlendirilemez,kaynak-siniri,,,,,,
W015,dünya atasözü,吃一堑，长一智,Çince — bir hendeğe düş bir akıl kazan,Yaşanmış zarar aktarılmış bilgiden fazlasını öğretir,deneyim-kapisi,,,,,,
W016,dünya atasözü,人多力量大,Çince — çok insan büyük güç,Birleşen çaba parçaların toplamından fazladır,birlesim,,,,,,
W017,dünya atasözü,В чужих руках ломоть велик,Rusça — başkasının elindeki dilim büyük görünür,Dışarıdan görülen sahip olunandan büyük görünür,gorunum-farki,,,,,,
W018,dünya atasözü,على قدر لحافك مد رجليك,Arapça — yorganına göre ayağını uzat,Eylemin kapsamı kaynağın sınırını aşmamalı,kaynak-siniri,,,,,,
W019,dünya atasözü,Chi va piano va sano e va lontano,İtalyanca — yavaş giden sağlam ve uzağa gider,Sürdürülebilir hız kesintili yüksek hızdan fazla mesafe üretir,birikim,,,,,,
W020,dünya atasözü,A rolling stone gathers no moss,İngilizce — yuvarlanan taş yosun tutmaz,Sürekli yer değiştiren birikim ve bağ oluşturamaz,birikim,,,,,,
